Radix,Complexity,Time in ms,BubbleSort,Complexity,Time in s,GnomeSort,Complexity,Time in s,MergeSort,Complexity,Time in ms,QuikSort,Complexity,Time in ms
,2047,1.265,,2047,0.131439,,2047,0.072093,,2047,3.372,,2047,5.068
,2053,1.434,,2053,0.116171,,2053,0.090557,,2053,3.174,,2053,6.273
,,,,2059,0.113027,,2059,0.09125,,2059,3.283,,2059,4.939
,2065,1.62,,2065,0.111522,,2065,0.082173,,2065,3.019,,2065,5.066
,2071,1.23,,2071,0.113598,,2071,0.089479,,2071,2.989,,2071,5.097
,2077,1.328,,2077,0.116447,,2077,0.082964,,2077,3.41,,2077,5.322
,2083,1.131,,2083,0.125317,,2083,0.083225,,2083,3.584,,2083,5.653
,2089,1.14,,2089,0.11813,,2089,0.087259,,2089,3.193,,2089,5.002
,2095,1.146,,2095,0.118969,,2095,0.083958,,2095,3.121,,2095,5.258
,2101,1.349,,2101,0.124796,,2101,0.075758,,2101,3.098,,2101,5.124
,2107,1.145,,2107,0.118601,,2107,0.101208,,2107,3.599,,2107,5.454
,2113,1.242,,2113,0.12549,,2113,0.092408,,2113,3.805,,2113,4.917
,2119,1.631,,2119,0.113944,,2119,0.077133,,2119,3.116,,2119,5.476
,2125,2.211,,2125,0.138176,,2125,0.11569,,2125,3.142,,2125,5.707
,2131,1.95,,2131,0.132209,,2131,0.088452,,2131,3.112,,2131,5.368
,2137,1.267,,2137,0.133827,,2137,0.079563,,2137,3.554,,2137,6.011
,2143,1.185,,2143,0.128007,,2143,0.091588,,2143,3.564,,2143,9.718
,2149,1.166,,2149,0.123595,,2149,0.080011,,2149,3.226,,2149,17.297
,2155,1.172,,2155,0.132548,,2155,0.080161,,2155,3.135,,2155,3.977
,2161,1.166,,2161,0.125673,,2161,0.110072,,2161,3.174,,2161,5.379
,2167,1.298,,2167,0.135688,,2167,0.080927,,2167,3.622,,2167,4.207
,2173,1.171,,2173,0.145184,,2173,0.118036,,2173,3.595,,2173,4.188
,2179,1.186,,2179,0.129289,,2179,0.096474,,2179,3.303,,2179,4.591
,2185,1.18,,2185,0.132511,,2185,0.082805,,2185,3.199,,2185,4.229
,2191,1.417,,2191,0.144043,,2191,0.094688,,2191,3.176,,2191,4.789
,2197,1.358,,2197,0.137865,,2197,0.110926,,2197,3.76,,2197,4.215
,2203,1.305,,2203,0.140748,,2203,0.112009,,2203,3.607,,2203,4.759
,2209,1.367,,2209,0.134122,,2209,0.083851,,2209,3.399,,2209,4.12
,2215,1.312,,2215,0.126578,,2215,0.091257,,2215,3.411,,2215,4.15
,2221,1.202,,2221,0.135,,2221,0.101788,,2221,3.348,,2221,4.414
,2227,1.219,,2227,0.145802,,2227,0.09288,,2227,4.121,,2227,4.512
,2233,1.23,,2233,0.137031,,2233,0.087341,,2233,3.349,,2233,4.383
,2239,1.274,,2239,0.135263,,2239,0.115906,,2239,3.322,,2239,4.105
,2245,1.216,,2245,0.137955,,2245,0.091733,,2245,3.283,,2245,4.299
,2251,1.218,,2251,0.142358,,2251,0.102832,,2251,3.678,,2251,4.084
,2257,1.219,,2257,0.138365,,2257,0.087668,,2257,3.837,,2257,4.065
,2263,1.22,,2263,0.133454,,2263,0.090073,,2263,3.429,,2263,3.376
,2269,1.462,,2269,0.137325,,2269,0.09788,,2269,3.4,,2269,4.256
,2275,1.445,,2275,0.136956,,2275,0.089136,,2275,3.414,,2275,4.397
,2281,1.414,,2281,0.137811,,2281,0.090798,,2281,15.423,,2281,3.814
,2287,1.411,,2287,0.142224,,2287,0.132764,,2287,3.743,,2287,3.828
,2293,1.255,,2293,0.137038,,2293,0.116237,,2293,3.698,,2293,4.164
,2299,1.263,,2299,0.138939,,2299,0.103067,,2299,3.613,,2299,3.998
,2305,1.263,,2305,0.14103,,2305,0.091871,,2305,3.588,,2305,3.979
,2311,1.525,,2311,0.14581,,2311,0.10591,,2311,16.26,,2311,3.803
,2317,1.254,,2317,0.144799,,2317,0.093693,,2317,3.511,,2317,4.376
,2323,1.271,,2323,0.147591,,2323,0.090873,,2323,3.607,,2323,4.227
,2329,1.257,,2329,0.144988,,2329,0.104139,,2329,3.578,,2329,4.594
,2335,1.263,,2335,0.143148,,2335,0.093392,,2335,3.695,,2335,4.328
,2341,1.407,,2341,0.144269,,2341,0.095867,,2341,3.69,,2341,4.036
,2347,1.736,,2347,0.150762,,2347,0.122491,,2347,3.642,,2347,4.386
,2353,1.481,,2353,0.154085,,2353,0.095167,,2353,3.911,,2353,4.329
,2359,1.405,,2359,0.148194,,2359,0.10177,,2359,3.623,,2359,3.769
,2365,1.345,,2365,0.15365,,2365,0.094006,,2365,3.756,,2365,4.593
,2371,1.325,,2371,0.157359,,2371,0.096101,,2371,3.541,,2371,5.304
,2377,1.393,,2377,0.150394,,2377,0.107492,,2377,3.969,,2377,6.125
,2383,1.292,,2383,0.14986,,2383,0.09581,,2383,3.801,,2383,5.395
,2389,1.297,,2389,0.154306,,2389,0.109552,,2389,3.69,,2389,5.984
,2395,1.296,,2395,0.153796,,2395,0.098389,,2395,3.604,,2395,5.415
,2401,1.295,,2401,0.158163,,2401,0.120305,,2401,3.742,,2401,5.394
,2407,1.309,,2407,0.159201,,2407,0.098456,,2407,4.018,,2407,5.55
,2413,1.479,,2413,0.159678,,2413,0.103605,,2413,3.834,,2413,5.233
,2419,1.512,,2419,0.151472,,2419,0.113869,,2419,3.618,,2419,5.527
,2425,1.43,,2425,0.157569,,2425,0.104831,,2425,3.596,,2425,6.181
,2431,1.519,,2431,0.165161,,2431,0.11687,,2431,4.332,,2431,5.638
,2437,1.794,,2437,0.16154,,2437,0.103698,,2437,4.051,,2437,5.673
,2443,1.399,,2443,0.160908,,2443,0.116278,,2443,3.654,,2443,6.421
,2449,1.34,,2449,0.159576,,2449,0.103907,,2449,3.634,,2449,6.483
,2455,1.349,,2455,0.163035,,2455,0.106309,,2455,4.342,,2455,31.367
,2461,1.364,,2461,0.163124,,2461,0.118359,,2461,4.34,,2461,11.099
,2467,1.389,,2467,0.163666,,2467,0.104333,,2467,4.055,,2467,20.32
,2473,1.361,,2473,0.160748,,2473,0.112499,,2473,3.93,,2473,15.331
,2479,1.345,,2479,0.16656,,2479,0.105714,,2479,4.115,,2479,9.859
,2485,2.283,,2485,0.171425,,2485,0.114698,,2485,3.894,,2485,7.381
,2491,2.637,,2491,0.16712,,2491,0.103795,,2491,3.95,,2491,12.071
,2497,2.544,,2497,0.16717,,2497,0.109026,,2497,3.785,,2497,11.539
,2503,1.57,,2503,0.168319,,2503,0.119561,,2503,4.119,,2503,8.856
,2509,1.387,,2509,0.166073,,2509,0.111231,,2509,4.009,,2509,9.547
,2515,1.39,,2515,0.176527,,2515,0.120115,,2515,3.878,,2515,10.31
,2521,1.56,,2521,0.174338,,2521,0.111452,,2521,3.838,,2521,8.061
,2527,1.413,,2527,0.181702,,2527,0.130879,,2527,4.3,,2527,7.488
,2533,1.372,,2533,0.179074,,2533,0.107887,,2533,4.61,,2533,7.726
,2539,1.795,,2539,0.18003,,2539,0.120136,,2539,3.947,,2539,8.013
,2545,1.591,,2545,0.217983,,2545,0.115341,,2545,3.94,,2545,8.606
,2551,1.757,,2551,0.182065,,2551,0.118968,,2551,4.171,,2551,7.8
,2557,2.622,,2557,0.228528,,2557,0.11832,,2557,4.262,,2557,8.321
,2563,2.428,,2563,0.177748,,2563,0.117195,,2563,3.83,,2563,7.705
,2569,2.428,,2569,0.18391,,2569,0.127217,,2569,3.826,,2569,9.124
,2575,2.407,,2575,0.18213,,2575,0.138537,,2575,4.353,,2575,7.934
,2581,1.781,,2581,0.184899,,2581,0.137285,,2581,6.119,,2581,10.08
,2587,2.53,,2587,0.189483,,2587,0.133152,,2587,4.012,,2587,10.298
,2593,1.919,,2593,0.185742,,2593,0.140082,,2593,4.206,,2593,28.259
,2599,1.584,,2599,0.186198,,2599,0.126112,,2599,5.131,,2599,5.834
,2605,1.552,,2605,0.192047,,2605,0.121071,,2605,4.184,,2605,7.577
,2611,1.474,,2611,0.191767,,2611,0.139613,,2611,4.1,,2611,4.9
,2617,1.425,,2617,0.191068,,2617,0.138069,,2617,4.005,,2617,4.892
,2623,1.622,,2623,0.194163,,2623,0.153684,,2623,5.316,,2623,6.846
,2629,1.625,,2629,0.198123,,2629,0.119492,,2629,4.56,,2629,4.697
,2635,1.497,,2635,0.215306,,2635,0.141667,,2635,4.129,,2635,4.614
,2641,1.443,,2641,0.20767,,2641,0.137442,,2641,19.028,,2641,4.802
,2647,1.867,,2647,0.210816,,2647,0.159626,,2647,11.146,,2647,4.437
,2653,1.78,,2653,0.19091,,2653,0.151316,,2653,4.444,,2653,4.055
,2659,1.544,,2659,0.190417,,2659,0.14126,,2659,4.556,,2659,4.92
,2665,1.513,,2665,0.201601,,2665,0.140563,,2665,4.21,,2665,5.518
,2671,1.541,,2671,0.202391,,2671,0.126078,,2671,4.302,,2671,4.954
,2677,1.509,,2677,0.199552,,2677,0.139669,,2677,4.286,,2677,5.982
,2683,1.512,,2683,0.204933,,2683,0.129997,,2683,4.244,,2683,6.481
,2689,1.462,,2689,0.199492,,2689,0.145523,,2689,4.211,,2689,5.384
,2695,1.505,,2695,0.205331,,2695,0.135303,,2695,4.464,,2695,5.31
,2701,1.471,,2701,0.198148,,2701,0.139183,,2701,4.374,,2701,5.236
,2707,1.695,,2707,0.201972,,2707,0.125654,,2707,4.332,,2707,5.153
,2713,1.74,,2713,0.205197,,2713,0.133848,,2713,4.663,,2713,7.204
,2719,1.588,,2719,0.204002,,2719,0.125356,,2719,4.53,,2719,9.385
,2725,1.769,,2725,0.210193,,2725,0.141217,,2725,4.441,,2725,11.597
,2731,1.712,,2731,0.203725,,2731,0.126851,,2731,4.291,,2731,8.946
,2737,1.502,,2737,0.211103,,2737,0.141246,,2737,4.348,,2737,9.17
,2743,1.495,,2743,0.208448,,2743,0.128476,,2743,4.187,,2743,8.245
,2749,1.506,,2749,0.214357,,2749,0.152642,,2749,5.008,,2749,8.826
,,,,2755,0.211581,,2755,0.141837,,2755,4.632,,2755,8.513
,2761,1.742,,2761,0.213619,,2761,0.140555,,2761,4.174,,2761,9.175
,2767,1.704,,2767,0.213813,,2767,0.149493,,2767,4.632,,2767,9.278
,2773,1.511,,2773,0.214104,,2773,0.128378,,2773,4.52,,2773,8.348
,2779,1.824,,2779,0.219204,,2779,0.176027,,2779,4.499,,2779,9.151
,2785,2.141,,2785,0.214286,,2785,0.133663,,2785,4.394,,2785,9.196
,2791,1.731,,2791,0.216366,,2791,0.186601,,2791,4.906,,2791,12.549
,2797,1.833,,2797,0.213312,,2797,0.145641,,2797,4.631,,2797,8.949
,2803,1.523,,2803,0.219328,,2803,0.133359,,2803,4.334,,2803,29.839
,2809,1.549,,2809,0.22569,,2809,0.15357,,2809,4.412,,2809,10.151
,2815,1.578,,2815,0.215281,,2815,0.141333,,2815,5.082,,2815,10.321
,2821,1.532,,2821,0.226515,,2821,0.159363,,2821,4.58,,2821,13.001
,2827,1.56,,2827,0.228244,,2827,0.135263,,2827,4.656,,2827,10.198
,2833,1.546,,2833,0.222468,,2833,0.1543,,2833,4.78,,2833,9.797
,2839,1.979,,2839,0.225356,,2839,0.147249,,2839,4.788,,2839,8.598
,2845,1.785,,2845,0.22565,,2845,0.138134,,2845,4.331,,2845,12.626
,2851,1.802,,2851,0.2253,,2851,0.159416,,2851,4.398,,2851,11.154
,2857,1.698,,2857,0.229462,,2857,0.143987,,2857,4.97,,2857,12.519
,2863,1.675,,2863,0.228788,,2863,0.153412,,2863,4.941,,2863,13.328
,2869,1.624,,2869,0.246097,,2869,0.156201,,2869,4.371,,2869,9.129
,2875,1.568,,2875,0.22945,,2875,0.141657,,2875,4.877,,2875,13.655
,2881,1.85,,2881,0.23142,,2881,0.161244,,2881,6.033,,2881,13.399
,2887,1.609,,2887,0.231467,,2887,0.14295,,2887,4.541,,2887,9.458
,2893,1.773,,2893,0.233357,,2893,0.150072,,2893,4.551,,2893,9.229
,2899,2.995,,2899,0.235044,,2899,0.154059,,2899,4.82,,2899,12.51
,2905,2.855,,2905,0.237853,,2905,0.143394,,2905,4.657,,2905,11.172
,2911,1.895,,2911,0.242692,,2911,0.161035,,2911,4.68,,2911,9.079
,2917,1.644,,2917,0.273471,,2917,0.148134,,2917,6.154,,2917,10.804
,2923,1.711,,2923,0.241488,,2923,0.163272,,2923,5.651,,2923,10.618
,2929,1.713,,2929,0.24186,,2929,0.161206,,2929,4.685,,2929,10.499
,2935,1.707,,2935,0.246279,,2935,0.144731,,2935,17.965,,2935,36.935
,2941,1.725,,2941,0.300018,,2941,0.167182,,2941,6.45,,2941,9.7
,2947,1.883,,2947,0.244944,,2947,0.163477,,2947,4.935,,2947,9.046
,2953,1.781,,2953,0.240231,,2953,0.15183,,2953,4.88,,2953,9.503
,2959,1.807,,2959,0.254646,,2959,0.162996,,2959,4.836,,2959,9.641
,2965,1.746,,2965,0.246659,,2965,0.152405,,2965,5.039,,2965,9.479
,2971,1.683,,2971,0.24732,,2971,0.166809,,2971,4.792,,2971,9.206
,2977,1.803,,2977,0.246365,,2977,0.172676,,2977,4.937,,2977,9.171
,2983,1.694,,2983,0.261173,,2983,0.149777,,2983,4.762,,2983,9.568
,2989,1.665,,2989,0.25583,,2989,0.165542,,2989,4.873,,2989,9.658
,2995,1.68,,2995,0.251073,,2995,0.159851,,2995,5.209,,2995,11.138
