"Complexity","Time in ms","Count"
2233,1.23,2
2239,1.274,2
2245,1.216,2
2251,1.218,2
2257,1.219,2
2263,1.22,2
2269,1.462,2
2275,1.445,2
2281,1.414,2
2287,1.411,2
2293,1.255,2
2299,1.263,2
2305,1.263,2
2311,1.525,2
2317,1.254,2
2323,1.271,2
2329,1.257,2
2335,1.263,2
2341,1.407,2
2347,1.736,2
2353,1.481,2
2359,1.405,2
2365,1.345,2
2371,1.325,2
2377,1.393,2
2383,1.292,2
2389,1.297,2
2395,1.296,2
2401,1.295,2
2407,1.309,2
2413,1.479,2
2419,1.512,2
2425,1.43,2
2431,1.519,2
2437,1.794,2
2443,1.399,2
2449,1.34,2
2455,1.349,2
2461,1.364,2
2467,1.389,2
2473,1.361,2
2479,1.345,2
2485,2.283,2
2491,2.637,2
2497,2.544,2
2503,1.57,2
2509,1.387,2
2515,1.39,2
2521,1.56,2
2527,1.413,2
2533,1.372,2
2539,1.795,2
2545,1.591,2
2551,1.757,2
2557,2.622,2
2563,2.428,2
2569,2.428,2
2575,2.407,2
2581,1.781,2
2587,2.53,2
2593,1.919,2
2599,1.584,2
2605,1.552,2
2611,1.474,2
2617,1.425,2
2623,1.622,2
2629,1.625,2
2635,1.497,2
2641,1.443,2
2647,1.867,2
2653,1.78,2
2659,1.544,2
2665,1.513,2
2671,1.541,2
2677,1.509,2
2683,1.512,2
2689,1.462,2
2695,1.505,2
2701,1.471,2
2707,1.695,2
2713,1.74,2
2719,1.588,2
2725,1.769,2
2731,1.712,2
2737,1.502,2
2743,1.495,2
2749,1.506,2
2755,32.191,2
2761,1.742,2
2767,1.704,2
2773,1.511,2
2779,1.824,2
2785,2.141,2
2791,1.731,2
2797,1.833,2
2803,1.523,2
2809,1.549,2
2815,1.578,2
2821,1.532,2
2827,1.56,2
2833,1.546,2
2839,1.979,2
2845,1.785,2
2851,1.802,2
2857,1.698,2
2863,1.675,2
2869,1.624,2
2875,1.568,2
2881,1.85,2
2887,1.609,2
2893,1.773,2
2899,2.995,2
2905,2.855,2
2911,1.895,2
2917,1.644,2
2923,1.711,2
2929,1.713,2
2935,1.707,2
2941,1.725,2
2947,1.883,2
2953,1.781,2
2959,1.807,2
2965,1.746,2
2971,1.683,2
2977,1.803,2
2983,1.694,2
2989,1.665,2
2995,1.68,2
